id,ra,dec,f606w
9351,265.177996,-53.674262,17.5036 
9352,265.177927,-53.674739,17.5187 
9353,265.17789,-53.674677,18.3543 
9354,265.177712,-53.675072,17.1438 
9355,265.177662,-53.674609,18.1469 
9356,265.17727,-53.674994,17.4378 
9357,265.177247,-53.674637,16.9242 
9358,265.177157,-53.674831,17.4648 
9359,265.177116,-53.674451,16.8034 
9360,265.176994,-53.675042,16.9224 
9361,265.178717,-53.674658,19.7762 
9363,265.178518,-53.673938,21.3891 
9364,265.178326,-53.673897,19.4066 
9366,265.178197,-53.675095,20.6598 
9367,265.178059,-53.674429,20.2661 
9368,265.17767,-53.674685,20.8695 
9369,265.177593,-53.674074,22.7348 
9370,265.177032,-53.674246,23.0698 
9371,265.177013,-53.674959,20.0122 
9372,265.176847,-53.674006,22.9935 
9373,265.174358,-53.674763,19.5933 
9374,265.174328,-53.674985,20.0874 
9375,265.174224,-53.674424,17.5412 
9376,265.173876,-53.674643,20.7728 
9377,265.173855,-53.674509,17.7762 
9378,265.173811,-53.674806,21.3269 
9379,265.173723,-53.674952,16.8548 
9380,265.173673,-53.674857,19.7482 
9383,265.173191,-53.67467,19.1667 
9384,265.17306,-53.675119,16.6948 
9385,265.17304,-53.67494,19.1614 
9386,265.172873,-53.674791,17.5321 
9387,265.172731,-53.675007,21.0241 
9388,265.172702,-53.673921,19.8835 
9389,265.172683,-53.674593,17.4376 
9390,265.17264,-53.674828,20.3496 
9392,265.172379,-53.674802,22.9038 
9393,265.172264,-53.674845,19.3066 
9394,265.174314,-53.673972,23.1467 
9396,265.174097,-53.674634,22.3664 
9403,265.172839,-53.674808,17.9229 
9405,265.172369,-53.67502,24.2328 
9406,265.174164,-53.674696,22.5478 
9407,265.176464,-53.674741,17.0086 
9408,265.176472,-53.674411,18.5919 
9409,265.176144,-53.674441,18.1055 
9410,265.176097,-53.674697,18.0151 
9411,265.175753,-53.675023,18.7294 
9412,265.174649,-53.674911,17.8815 
9413,265.176453,-53.674028,17.3472 
9414,265.17643,-53.674124,19.6503 
9415,265.176365,-53.673903,19.7706 
9416,265.176317,-53.674716,18.9326 
9417,265.17613,-53.673995,18.2478 
9418,265.175886,-53.673834,18.3646 
9419,265.175787,-53.674246,20.9504 
9420,265.175725,-53.673928,17.0281 
9421,265.175586,-53.674112,19.1363 
9422,265.175533,-53.674056,17.2622 
9423,265.175362,-53.674247,19.5997 
9424,265.175332,-53.674192,17.8978 
9425,265.175196,-53.674596,18.1338 
9426,265.175172,-53.674722,20.4048 
9427,265.17507,-53.674874,19.3354 
9428,265.175054,-53.674031,21.384 
9429,265.17495,-53.674461,21.9211 
9430,265.174938,-53.674093,17.3704 
